model,full_exp,total_acc,vs_baseline_acc,vs_distractor_acc
grnn,cc_himself,0.6533333333333333,1.0,0.6533333333333333
grnn,cc_herself,0.8133333333333334,0.9866666666666667,0.8266666666666667
grnn,cc_pl,0.7866666666666666,1.0,0.7866666666666666
jrnn,cc_himself,0.92,0.9866666666666667,0.9333333333333333
jrnn,cc_herself,0.8533333333333334,0.8533333333333334,1.0
jrnn,cc_pl,0.30666666666666664,1.0,0.30666666666666664
trans,cc_himself,0.6533333333333333,0.8533333333333334,0.7066666666666667
trans,cc_herself,0.6266666666666667,0.9866666666666667,0.6266666666666667
trans,cc_pl,0.7466666666666667,1.0,0.7466666666666667
rnng,cc_himself,0.64,0.9866666666666667,0.6533333333333333
rnng,cc_herself,0.6266666666666667,0.9733333333333334,0.6266666666666667
rnng,cc_pl,0.6133333333333333,0.9733333333333334,0.64
tiny,cc_himself,0.21333333333333335,0.9066666666666666,0.24
tiny,cc_herself,0.12,0.28,0.28
tiny,cc_pl,0.9333333333333333,1.0,0.9333333333333333
5gram,cc_himself,0.0,0.0,0.16
5gram,cc_herself,0.0,0.0,0.13333333333333333
5gram,cc_pl,0.0,0.0,0.06666666666666667
bert,cc_himself,0.9866666666666667,1.0,0.9866666666666667
bert,cc_herself,0.96,0.96,0.96
bert,cc_pl,0.9866666666666667,1.0,0.9866666666666667
